2024-09-13 14:31:03.459 [info] Starting Python Locator /root/.vscode/extensions/ms-python.python-2024.14.1-linux-x64/python-env-tools/bin/pet server
2024-09-13 14:31:03.584 [info] Discovered env: /usr/bin/python3
2024-09-13 14:31:03.584 [info] Discovered env: /bin/python3
2024-09-13 14:31:03.604 [info] Locator Conda took 75.821576ms
2024-09-13 14:31:03.605 [info] Locator Homebrew took 316.979µs
2024-09-13 14:31:03.605 [info] Locator LinuxGlobal took 84.789784ms
2024-09-13 14:31:03.605 [info] Locator PipEnv took 312.271µs
2024-09-13 14:31:03.605 [info] Locator Poetry took 1.039353ms
2024-09-13 14:31:03.605 [info] Locator PyEnv took 601.873µs
2024-09-13 14:31:03.605 [info] Locator Venv took 37.673µs
2024-09-13 14:31:03.605 [info] Locator VirtualEnv took 50.878µs
2024-09-13 14:31:03.605 [info] Locator VirtualEnvWrapper took 192.589µs
2024-09-13 14:31:03.605 [info] Locator GlobalVirtualEnvs took 808.904µs
2024-09-13 14:31:03.605 [info] Locator Locators took 85.889809ms
2024-09-13 14:31:03.605 [info] Locator Path took 153.006021ms
2024-09-13 14:31:03.605 [info] Locator Workspaces took 4.094766ms
2024-09-13 14:31:03.605 [info] Refresh completed in 153ms
